ID,Nombre,Ingredientes,Instrucciones,URL,tk_ing
11,Bread Machine Monkey Bread,"2 ½ teaspoons active dry yeast; 3 cups all-purpose flour; 1 teaspoon ground cinnamon; 1 teaspoon salt; ¼ cup white sugar; 2 tablespoons margarine, softened; 1 cup water; 1 cup margarine; 1 cup packed brown sugar; 1 cup raisins","Remove the baking pan from the machine. Place yeast, flour, cinnamon, salt, white sugar, 2 tablespoons margarine, and water in the order recommended for the bread machine. Make sure that no liquid comes in contact with yeast. Select dough cycle and press start. Transfer dough to a floured surface; knead 10 to 12 times. Set aside to rest. Melt 1 cup margarine in a medium saucepan over low heat. Stir in brown sugar and raisins until smooth. Remove from heat. Preheat the oven to 375 degrees F (190 degrees C). Grease a Bundt or tube pan. Cut dough into 1-inch chunks. Drop a chunk at a time into brown sugar mixture to thoroughly coat. Layer dough pieces loosely in the prepared pan, staggering layers, so you're plopping each dough chunk over a space between two below. Let rise in a warm, draft-free spot until dough is just over the top of the pan, 15 to 20 minutes. Bake in the preheated oven until golden brown, 20 to 25 minutes. Remove from the oven and cover the pan with a plate. Holding the plate and the pan with oven mitts, flip over both until bread slides out onto the plate. Serve warm.
5BOYS2COOK4",https://www.allrecipes.com/recipe/6864/monkey-bread-ii/,"['½  active dry yeast', 'allpurpose flour', 'ground cinnamon', 'salt', '¼  white sugar', 'margarine', 'softened', 'water', 'margarine', 'packed brown sugar', 'raisins']"
12,Lemon Ricotta Pancakes,¾ cup cold water or milk; ½ teaspoon baking soda; ½ cup ricotta cheese; 1 large egg; 1 tablespoon grated lemon zest (just the yellow part of the skin); 1 tablespoon vegetable oil; 1 tablespoon white sugar; ⅛ teaspoon vanilla extract; 1 cup self-rising flour; 2 tablespoons self-rising flour; 2 tablespoons melted butter; 1 tablespoon lemon juice,"Whisk cold water and baking soda in a mixing bowl. Add ricotta cheese, egg, lemon zest, vegetable oil, sugar, and vanilla; whisk until smooth, breaking up lumps of cheese as you mix. Whisk in 1 cup plus 2 tablespoons self-rising flour, melted butter, and lemon juice until most of flour disappears into batter. Let batter sit at room temperature for 15 minutes. Heat a lightly oiled griddle over medium-high heat. Drop batter by large spoonfuls onto the hot griddle and cook until bubbles form and the edges are dry, 2 to 3 minutes. Flip and cook until browned on the other side, 2 to 3 minutes. Repeat with remaining batter.
CHEF JOHN",https://www.allrecipes.com/recipe/257657/lemon-ricotta-pancakes/,"['¾  cold water or milk', '½  baking soda', '½  ricotta cheese', 'large egg', 'grated lemon zest just the yellow part of the skin', 'vegetable oil', 'white sugar', '⅛  vanilla extract', 'selfrising flour', 'selfrising flour', 'melted butter', 'lemon juice']"
13,Bang Bang Blended Chicken Burger,"3/4 cup rice vinegar; 2 tablespoons water; 2 teaspoons white sugar; 2 teaspoons sesame seeds; 1 small carrot, cut into matchsticks; 1/4 large English cucumber, cut into matchsticks; 1/4 small red onion, cut into 1/8-inch thick wedges; 1/2 cup mayonnaise; 1/4 cup Thai sweet chili sauce; 2 teaspoons Sriracha, or more to taste; 1 teaspoon rice vinegar; 1/8 teaspoon salt; 1 (8 ounce) package crimini mushrooms, halved or quartered; 6 tablespoons peanut oil, divided; 1 pound ground chicken, white and dark meat; 1 1/4 teaspoons salt; 4 jalapeño peppers, halved and seeded; 8 green onions, ends trimmed and onions cut in half crosswise; 4 brioche buns, split; 2 large eggs; 2 tablespoons water; 1 1/2 cups panko bread crumbs; 2 tablespoons minced cilantro","Whisk together 3/4 cups rice vinegar, water, sugar, and sesame seeds in a small bowl until sugar is dissolved. Add carrot, cucumber, and red onion, separating onion layers; toss to coat. Chill until ready to use, stirring occasionally to keep vegetables submerged in the brine. Whisk together mayonnaise, Thai sweet chile sauce, Sriracha, 1 teaspoon rice vinegar, and 1/4 teaspoon salt in a small bowl. Chill Bang Bang Sauce until ready to use. Preheat the oven to 400 degrees F (200 degrees C). Line a rimmed baking sheet with aluminum foil. Toss mushrooms with 1 tablespoon oil. Spread mushrooms out in a single layer on the prepared baking sheet. Roast mushrooms in the preheated oven for 15 minutes, stirring halfway through. Remove from oven and allow to cool. Transfer cooked mushrooms to a food processor,pulsing 5 or 6 times and scraping down the sides of the bowl, until finely minced (or mince with a knife). Combine mushrooms, ground chicken,  and 1 1/4 teaspoons salt in a bowl; mix thoroughly, without overmixing. Form into 4 patties, about the circumference of the brioche buns, and place on squares of parchment paper or plastic wrap to prevent from sticking. You can oil your hands to handle meat if mixture is sticky. Refrigerate for at least 30 minutes for the patties to firm up. When ready to cook the burgers, set an oven rack about 6 inches from the heat source and preheat the oven's broiler. Place jalapeño halves, cut side down, and green onions on a baking sheet. Drizzle with 1 teaspoon oil.  Broil vegetables until charred, turning halfway through, about 10 minutes. Set aside. Meanwhile, preheat a large cast iron skillet over medium-high heat. Brush skillet with 1 teaspoon oil and toast brioche buns, cut side down, until lightly browned, 2 to 4 minutes; set aside. Lightly whisk eggs and water in a shallow dish. Add panko bread crumbs to a second dish. Gently dip burger patties into egg mixture, letting excess drip off. Press lightly into bread crumbs to coat both sides. Heat remaining oil in a cast iron skillet over medium heat. Fry burgers until internal temperature reaches 165 degrees F (74 degrees C), about 3 minutes per side. Place patties on a plate lined with paper towels. Spread a light layer of Bang Bang sauce on bottom buns. Add 2 charred jalapeño halves per bun. Add chicken patty and top with slaw and charred scallions. Top with cilantro and drizzle with more sauce.",https://www.allrecipes.com/bang-bang-blended-chicken-burger-recipe-7370938,"['rice vinegar', 'water', 'white sugar', 'sesame seeds', 'small carrot', 'cut into matchsticks', 'large english cucumber', 'cut into matchsticks', 'small red onion', 'cut into inch thick wedges', 'mayonnaise', 'thai sweet chili sauce', 'sriracha', 'or more to taste', 'rice vinegar', 'salt', 'package crimini mushrooms', 'halved or quartered', 'peanut oil', 'divided', 'ground chicken', 'white and dark meat', 'salt', 'jalapeño peppers', 'halved and seeded', 'green onions', 'ends trimmed and onions cut in half crosswise', 'brioche buns', 'split', 'large eggs', 'water', 'panko bread crumbs', 'minced cilantro']"
14,Chocolate Chocolate Chip Cookies,"1 ½ cups white sugar; 1 cup butter, softened; 2 large eggs; 2 teaspoons vanilla extract; 2 cups all-purpose flour; ⅔ cup cocoa powder; ¾ teaspoon baking soda; ¼ teaspoon salt; 2 cups semisweet chocolate chips; ½ cup chopped walnuts (Optional)","Gather all ingredients and preheat the oven to 350 degrees F (175 degrees C).
DOTDASH MEREDITH FOOD STUDIOS Beat sugar, butter, eggs, and vanilla in a large bowl until light and fluffy.
DOTDASH MEREDITH FOOD STUDIOS Combine flour, cocoa powder, baking soda, and salt in another bowl; stir into butter mixture until well blended.
DOTDASH MEREDITH FOOD STUDIOS Mix in chocolate chips and walnuts. Drop spoonfuls of dough 2 inches apart onto ungreased cookie sheets.
DOTDASH MEREDITH FOOD STUDIOS Bake in the preheated oven just until set, 8 to 10 minutes. Cool slightly on the cookie sheets before transferring to wire racks to cool completely.
DOTDASH MEREDITH FOOD STUDIOS Enjoy!
DOTDASH MEREDITH FOOD STUDIOS",https://www.allrecipes.com/recipe/9827/chocolate-chocolate-chip-cookies-i/,"['½  white sugar', 'butter', 'softened', 'large eggs', 'vanilla extract', 'allpurpose flour', '⅔  cocoa powder', '¾  baking soda', '¼  salt', 'semisweet chocolate chips', '½  chopped walnuts optional']"
15,Sweet Potato Casserole Dessert,"4 ½ cups cooked and mashed sweet potatoes; 1 cup white sugar; ½ cup butter, melted; ⅓ cup milk; 2 eggs, beaten; ½ teaspoon vanilla extract; 1 cup light brown sugar; ½ cup all-purpose flour; ⅓ cup butter; 1 cup chopped pecans","Gather the ingredients. Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish. Mix mashed sweet potatoes, sugar, 1/2 cup melted butter, milk, eggs, and vanilla extract together in a large bowl; spread into the prepared baking dish. Mix brown sugar and flour together in a small bowl; cut in 1/3 cup butter until mixture is crumbly, then stir in pecans. Sprinkle streusel mixture over sweet potatoes. Bake in the preheated oven until golden brown, about 25 minutes.",https://www.allrecipes.com/recipe/18057/sweet-potato-casserole-dessert/,"['½  cooked and mashed sweet potatoes', 'white sugar', '½  butter', 'melted', '⅓  milk', 'eggs', 'beaten', '½  vanilla extract', 'light brown sugar', '½  allpurpose flour', '⅓  butter', 'chopped pecans']"
16,Pumpkin Chocolate Chip Muffins,¾ cup white sugar; ¼ cup vegetable oil; 2 large eggs; ¾ cup canned pumpkin; ¼ cup water; 1 ½ cups all-purpose flour; ¾ teaspoon baking powder; ½ teaspoon baking soda; ½ teaspoon ground cinnamon; ¼ teaspoon ground nutmeg; ¼ teaspoon ground cloves; ¼ teaspoon salt; ½ cup semisweet chocolate chips,"Gather all ingredients. Preheat the oven to 400 degrees F (200 degrees C). Grease and flour muffin pan or use paper liners.
DOTDASH MEREDITH FOOD STUDIOS Whisk sugar, oil, and eggs together in a medium bowl. Stir in pumpkin and water until well blended.
DOTDASH MEREDITH FOOD STUDIOS Mix flour, baking powder, baking soda, cinnamon, nutmeg, cloves, and salt together in a separate bowl.
DOTDASH MEREDITH FOOD STUDIOS Add pumpkin mixture into flour mixture and stir just to combine, being careful not to overmix. Gently stir in chocolate chips.
DOTDASH MEREDITH FOOD STUDIOS Fill muffin cups 2/3 full with batter.
DOTDASH MEREDITH FOOD STUDIOS Enjoy! Bake in the preheated oven until a toothpick inserted into the center comes out clean, 20 to 25 minutes.
DOTDASH MEREDITH FOOD STUDIOS ",https://www.allrecipes.com/recipe/7958/pumpkin-chocolate-chip-muffins/,"['¾  white sugar', '¼  vegetable oil', 'large eggs', '¾  canned pumpkin', '¼  water', '½  allpurpose flour', '¾  baking powder', '½  baking soda', '½  ground cinnamon', '¼  ground nutmeg', '¼  ground', '¼  salt', '½  semisweet chocolate chips']"
17,Beef Stroganoff with Ground Beef,"2 tablespoons butter; 1 cup sliced fresh mushrooms; ⅓ cup chopped onion; 1 pound lean ground beef; 2 tablespoons all-purpose flour; 1 teaspoon garlic powder; 1 teaspoon seasoning salt; ½ teaspoon ground paprika; ¼ teaspoon ground black pepper; 1 (10.75 ounce) can condensed cream of mushroom soup; ¾ cup sour cream, or more to taste; 1 tablespoon liquid smoke, or to taste (Optional); 1 tablespoon Worcestershire sauce","Melt butter in a large skillet over medium-high heat. Add mushrooms and onions and saute until onions have turned translucent, about 5 minutes. Add ground beef and cook and stir until browned and crumbly, 5 to 7 minutes. Sprinkle with flour, garlic powder, seasoning salt, paprika, and pepper; stir until mixed in. Add condensed soup, sour cream, liquid smoke, and Worcestershire sauce. Reduce heat to medium, and cook and stir until sauce has thickened, 5 to 7 minutes.",https://www.allrecipes.com/recipe/276859/beef-stroganoff-with-ground-beef/,"['butter', 'sliced fresh mushrooms', '⅓  chopped onion', 'lean ground beef', 'allpurpose flour', 'garlic powder', 'seasoning salt', '½  ground paprika', '¼  ground black pepper', 'can condensed cream of mushroom soup', '¾  sour cream', 'or more to taste', 'liquid smoke', 'or to taste optional', 'worcestershire sauce']"
18,Vegan Broccoli Soup,"1 cup raw cashews; 5 cups vegetable broth, divided; 2 Yukon Gold potatoes, cut into 1/2-inch cubes; 1 onion, finely chopped; 4 ½ cups coarsely chopped broccoli; 1 teaspoon dried basil; 1 teaspoon fine sea salt; ¼ teaspoon freshly ground black pepper","Blend cashews and 1 cup vegetable broth in a blender until smooth, about 1 minute. Pour the remaining 4 cups vegetable broth into a large pot; add potatoes and onion. Bring to a simmer, cover, and cook for 5 minutes. Stir in broccoli and basil; return to a simmer. Cover and cook until potatoes are tender, about 10 minutes. Stir cashew mixture into soup; add salt and black pepper. Bring to a simmer and immediately remove from heat. Transfer about half the soup to a blender; blend until smooth. Return blended soup to pot and stir well. Serve immediately.",https://www.allrecipes.com/recipe/229241/vegan-broccoli-soup/,"['raw cashews', 'vegetable broth', 'divided', 'yukon gold potatoes', 'cut into inch cubes', 'onion', 'finely chopped', '½  coarsely chopped broccoli', 'dried basil', 'fine sea salt', '¼  freshly ground black pepper']"
19,Antipasto Pasta Salad,"1 pound seashell pasta; ½ pound Asiago cheese, diced; ¼ pound Genoa salami, chopped; ¼ pound pepperoni sausage, chopped; 3 medium tomatoes, chopped; 1 medium red bell pepper, diced; 1 medium green bell pepper, chopped; 1 (6 ounce) can black olives, drained and chopped; 1 (.7 ounce) package dry Italian-style salad dressing mix; ¾ cup extra virgin olive oil; ¼ cup balsamic vinegar; 2 tablespoons dried oregano; 1 tablespoon dried parsley; 1 tablespoon grated Parmesan cheese; salt and ground black pepper to taste","Make the salad: Bring a large pot of salted water to a boil. Add shell pasta and cook, stirring occasionally, until tender yet firm to the bite, about 9 minutes. Drain, run under cold water to cool pasta, and drain again. Transfer drained pasta to a large bowl. Add Asiago, salami, pepperoni, tomatoes, bell peppers, and olives. Sprinkle dry dressing mix over top and stir until ingredients are thoroughly mixed. Cover and refrigerate for at least 1 hour. Make the dressing: Whisk oil, vinegar, oregano, parsley, Parmesan, salt, and pepper together in a small bowl. Cover and set aside until ready to serve. When ready to serve, pour dressing over chilled salad and mix until well combined.",https://www.allrecipes.com/recipe/14278/antipasto-pasta-salad/,"['seashell pasta', '½  asiago cheese', 'diced', '¼  genoa salami', 'chopped', '¼  pepperoni sausage', 'chopped', 'medium tomatoes', 'chopped', 'medium red bell pepper', 'diced', 'medium green bell pepper', 'chopped', 'can black olives', 'drained and chopped', 'package dry italianstyle salad dressing mix', '¾  extra virgin olive oil', '¼  balsamic vinegar', 'dried oregano', 'dried parsley', 'grated parmesan cheese', 'salt and ground black pepper to taste']"
20,Turkey Wild Rice Soup,"6 tablespoons butter; ¼ cup diced onion; ¼ cup diced celery; ⅓ cup all-purpose flour; 4 cups turkey broth; ⅓ cup shredded carrots; 2 cups chopped leftover roasted turkey; 2 cups cooked wild rice; ¼ cup chopped slivered almonds; ½ teaspoon kosher salt, or to taste; ½ teaspoon ground black pepper, or to taste; ½ teaspoon lemon juice; ¾ cup half-and-half","Gather all ingredients.
DOTDASH MEREDITH FOOD STUDIOS Melt butter in a soup pot over medium heat. Add onion and celery; cook and stir until translucent, about 5 minutes.
DOTDASH MEREDITH FOOD STUDIOS Stir in flour, and cook until it turns a pale, yellowish-brown color, 3 to 5 minutes.
DOTDASH MEREDITH FOOD STUDIOS Gradually whisk in turkey stock until no lumps of flour remain.
DOTDASH MEREDITH FOOD STUDIOS Stir in carrot and bring mixture to a simmer. Cook, whisking constantly, until stock is thick and smooth and carrots are tender, about 2 minutes.
DOTDASH MEREDITH FOOD STUDIOS Stir in turkey, wild rice, almonds, salt, and pepper; simmer until heated through, about 5 minutes.
DOTDASH MEREDITH FOOD STUDIOS Stir in lemon juice and half-and-half; bring soup almost to a boil. Serve immediately.
DOTDASH MEREDITH FOOD STUDIOS",https://www.allrecipes.com/recipe/212664/turkey-wild-rice-soup-ii/,"['butter', '¼  diced onion', '¼  diced celery', '⅓  allpurpose flour', 'turkey broth', '⅓  shredded carrots', 'chopped leftover roasted turkey', 'cooked wild rice', '¼  chopped slivered almonds', '½  kosher salt', 'or to taste', '½  ground black pepper', 'or to taste', '½  lemon juice', '¾  halfandhalf']"
21,Braised Corned Beef Brisket,"1 (5 pound) flat-cut corned beef brisket; 1 tablespoon browning sauce (such as Kitchen Bouquet), or as desired; 1 tablespoon vegetable oil; 1 onion, sliced; 6 cloves garlic, sliced; 2 tablespoons water","Preheat the oven to 275 degrees F (135 degrees C). Discard any flavoring packet from corned beef. Brush brisket with browning sauce on both sides.
DOTDASH MEREDITH FOOD STUDIOS Heat vegetable oil in a large skillet over medium-high heat and brown brisket on both sides in the hot oil, 5 to 8 minutes per side.
DOTDASH MEREDITH FOOD STUDIOS Place brisket on a rack set in a roasting pan. Scatter onion and garlic slices over brisket and add water to roasting pan. Cover pan tightly with aluminum foil.
DOTDASH MEREDITH FOOD STUDIOS Roast in the preheated oven until meat is tender, about 6 hours.
DOTDASH MEREDITH FOOD STUDIOS Serve hot and enjoy!
DOTDASH MEREDITH FOOD STUDIOS",https://www.allrecipes.com/recipe/231030/braised-corned-beef-brisket/,"['flatcut corned beef brisket', 'browning sauce such as kitchen bouquet', 'or as desired', 'vegetable oil', 'onion', 'sliced', 'garlic', 'sliced', 'water']"
22,Best Ever Pie Crust,"2 cups all-purpose flour; 1 teaspoon salt; 1 cup shortening, cut into small pieces and frozen for 30 minutes; ½ cup ice-cold water, or as needed","Whisk flour and salt together in a large bowl. Cut in chilled shortening with a pastry blender until the mixture resembles coarse, pea-sized crumbs.
DOTDASH MEREDITH FOOD STUDIOS Add 1/4 cup ice-cold water; use a fork to stir the flour up from the bottom, just until it's mixed in. Press down on any chunks and continue working the dough around the bowl. Continue to add ice-cold water, in 1 tablespoon increments, mixing just until dough is moist enough to hold together when molded; you will not need more than 4 tablespoons and in fact, may need less.
DOTDASH MEREDITH FOOD STUDIOS Gently gather dough together into a ball. Divide in half, and flatten each half into a 1-inch-thick disc. Wrap each disc in plastic wrap and chill in the refrigerator for at least 30 minutes. For best results, chill for 4 hours, or up to 2 days.
DOTDASH MEREDITH FOOD STUDIOS When ready to use, roll dough on a lightly floured surface, being careful not to overwork it.
DOTDASH MEREDITH FOOD STUDIOS Fit dough into a pie plate. If it crumbles or tears as you work it, just pinch and press it back into shape. Use pie crust as directed in your pie recipe.
DOTDASH MEREDITH FOOD STUDIOS ",https://www.allrecipes.com/recipe/12111/best-ever-pie-crust/,"['allpurpose flour', 'salt', 'shortening', 'cut into small pieces and frozen for  minutes', '½  icecold water', 'or as needed']"
