ID;Oracion_ID;Oracion
1;57;establec sistem masiv credit tas baj desendeud famili
1;58;resolv problemat social econom gener crecient ofert credit interes clausul cost ilegal abus
1;59;estabiliz ingres petroler adecu presion tributari inclu impuest subnacional contribu segur social etc
1;60;dentr nivel convenient acord estandar internacional proces simplif tributari manten mejor condicion nivel emple
1;61;revis polit subsidi criteri estrategi justici redistribut prioriz sector agricultur transport
1;62;luch corrupcion fiscal evasion establec sistem transparent definit captur increment patrimonial justific
1;63;aplic principi general sistem tributari simplific hac eficient
1;64;aplic criteri progres suficient equid tributari pro cre incent agent econom product
1;65;ciudadan emple dign ingres basic universal segur social universal orient polit laboral haci recuper mejor nivel calid emple pon centr model respet derech laboral individual colect estabil trabaj condicion laboral segur salud salari dign tiemp trabaj compat vid personal laboral famili hombr mujer lugar trabaj libr violenci acos proteccion matern tod etap reconoc padr madr tiemp cuid crianz proteg estabil laboral
1;66;ello vincul permanent dialog social tripartit man tend maner permanent sindicat empresari foment negoci colect
1;67;control empres utiliz plataform digital asegur respet derech laboral person emple regim asalari
1;68;cre mecan polit integr joven expuls mund educ laboral
1;69;marc impuls legisl reivindic derech prim emple jov estrategi practic formacion dual exencion tributari empres gener emple formal joven
1;70;establec polit bec terminal educ formacion profesionaliz credit emprend gener trabaj joven
1;71;implement polit public sosten simultane trayectori educ laboral joven articul neces derech
1;72;implement polit public discrimin estigm pes joven asi situacion segreg exclusion condicion vid visibiliz diferent mod ser jov reconoc derech divers
1;73;promov econom social garantiz credit maquinari herramient capacit seguimient acompañ
1;74;fortalec program microcredit incorpor diferent escal lin financi flexibiliz metod gener masiv cre banc credit local regional gobi local
1;75;gener obras public comunitari emergent prioric vincul trabaj trabaj desempl
1;76;establec model vincul plan social trabaj facilit person beneficiari plan insert merc laboral maner formal
1;77;reform profund iess favor person afili cumpl aport patronal transparent calcul actuarial tom correct necesari moderniz gestion logr servici oportun calid
1;78;mejor cuant dignific prestacion
1;79;impuls sistem segur social component converj bas principi universal solidar iguald suficient particip social asi equid viabil fiscal
1;80;recuper luch trabaj infantil proteccion adolescent trabaj
1;81;ciudadan educ recuper univers public univers emblemat pais program bec exterior excelent calid
1;82;cumpl preasign presupuestari constitucional educ increment inversion educ
1;83;democratiz acces educ garantiz derech estudi educ public calid gratuit nivel educ inicial educ general basic bachillerat terc nivel universitari
1;84;reforz recurs capac educ etap tempran avanz model prioric experiment creativ capac resolu problem desarroll capac personal adquisicion competent basic
1;85;foment ampliacion cobertur educ secundari favorec particul formacion tecnic tecnolog sector lig produccion industrial artesanal agricol combin perspect desarroll social product incorpor criteri alfabetiz digital
1;86;garantiz derech docent ecuatorian mejor calid educ fortalec trabaj mediant regul carrer docent escalafon reivindiqu derech respons
1;87;polit salarial remuner just acuerd profesionaliz desempeñ merit academ nivel educ
1;89;estabil docent nivel modal
1;91;promocion movil altern docent
1;93;profesionaliz actualiz formacion continu mejor personal pedagog academ
1;94;fortalec increment institut educ superior
1;95;revis model pedagog incentiv pensamient critic estudi
1;96;revis plan decenal educ fortalec sistem educ nacional
1;97;garantiz cobertur universal ofert educ public nivel nacional baj principi equid social territorial regional
1;98;implement polit facilit acces universal diferent nivel educ facil movil region geograf
1;99;recuper fortalec unidad educ mileni uem garantiz acces poblacion escol zon rural usual exclu servici educ
1;100;distribu recurs educ criteri equid social poblacional territorial elimin brech desigualdad etnic gener urban rural condicion fisic
1;101;requer rendicion cuent result educ gestion recurs public part institu fiscomisional artesanal comunitari financi estatal garantiz principi gratuid iguald oportun
1;102;combat deficit educacional cuant analfabet pur funcional digital
1;103;desarroll modal formal formal permit oportun educ person adult super rezag educ
1;104;enlaz educ neces econom product social cultural ambiental territori
1;105;mejor infraestructur equip fisic tecnolog institu educ
1;106;reduc brech tecnolog conect urban urbanomarginal rural mediant cobertur universal energ electr telecomun internet territori nacional
1;107;recuper infocentr mecan democrat equit acces tecnolog mejor educ poblacion rural urban escas ingres econom
1;108;incorpor tecnolog inform comun tic proces educ
1;109;erradic tod form violenci sistem educ vel integr fisic psicolog sexual estudi
1;110;brind atencion psicopedagog oportun adecu estudi capac neces especial pais
1;111;adapt sistem educ rural realid neces territorial potenci desarroll capac niñ joven hombr mujer rural asi gener oportun territori garantiz mejor condicion ejercici derech libr movil
1;112;establec sistem nacional evalu foment mejor continu
1;113;fortalec ampli bachillerat tecnic institut tecnic tecnolog superior calid pertinent neces potencial territori
1;114;mejor sistem nivel admision ingres educ superior public criteri accesibil equid justici social
1;115;establec mecan regul bec credit cobr cuot ingres permit equid social ingres educ superior particul
1;116;establec incent academ econom estudi entorn socioeconom desfavorec demuestr alto rendimient academ
1;117;impuls profesionaliz trabaj traves reconoc actualiz cualif laboral
1;118;ciudadan salud aliment viviend dign ampli presupuest atencion salud oblig superior
1;119;garantiz plan presupuestari cas salud existent pued recuper funcion calid
1;120;reincorpor personal sanitari medicin enferm personal asistencial desped ilegal pas años fij salari dign sector salud
1;121;garantiz derech salud deb primordial deb prov ciudadan oportun manten grad maxim salud
1;122;fortalec polit determin manten salud infraestructur sanitari acces medicament servici medic asegur agu potabl asi alcantarill segur alimentari educ cultur fisic ambient san habitat salud viviend adecu etc
1;123;apoy gad logr dotacion universal agu potabl segur alcantarill recoleccion basur adecu tratamient desech sol potenci accion promocion propici activ fisic recreacion habit salud fin conten disminu enfermedad traves prevencion
1;124;prioriz desarroll estrategi intersectorial eficient efect luch malnutricion
1;125;desarroll estrategi multidisciplinari intersectorial haci errad violenci intrafamili violenci gener tod form violenci ambit priv public
1;126;consolid sistem nacional salud bas atencion primari salud dand verdader priorid promocion prevencion logr acces equit universal oportun continu bas especif etnic cultural cicl vid gener territorial consolid articul intersectorial particip ciudadan diferent nivel atencion
1;127;implic atencion gratuit constitu red integral atencion inclu diferent nivel complej involucr recurs existent public msp iess ffa priv baj rector regul autor sanitari nacional
1;128;inclu unidad salud priv prestador servici medic traves baj sistem unic salud respet criteri eficient eficaci transparent
1;129;fortalec unidad salud hospital unidad salud general cuant infraestructur personal equip abastec insum medicament segun nivel complej retom cumplimient estandar internacional calid
1;130;establec presupuest anual plurianual manten equip instal hospitalari moment desabastec deterior tras siet años descu administr actual
1;131;propici adquisicion equip medic asign presupuestari manten prevent correct vid util equip
1;132;invert especial prim nivel atencion logr cad unid oper capac conoc cuid individu famili comun carg maner particip reconoc puert entrad sistem salud
1;133;unidad oper prim nivel deb pod garantiz obtencion cobertur maxim accion promocion prevencion baj cost gran efect inmuniz control prenatal planif famili etc
1;135;atencion vigil intervencion comunitari intersectorial garantiz cumplimient met salud zon cobertur
1;136;blind cualqui posibil privatiz hospital
1;137;atend priorid salud mujer tod etap vid
1;138;prioriz implement estrategi atencion salud inclus grup poblacional divers termin edad etni gener condicion econom privacion libert discapac
1;139;constitu equip estudi planif tecnic experiment msp orient gener estrategi efect contribu implement ambit nacional model atencion integral salud famili comunitari intercultural cuy desarroll sufr retroces actual administr
1;140;retom formacion personal salud acuerd neces atencion poblacion pais model atencion integral salud dand especial atencion direccion distrital instanci fundamental organiz trabaj operativiz model atencion integral salud nivel territorial
1;141;impuls produccion medicament gener traves industri nacional camp integr regional
1;142;prioriz inversion public orient primer infanci niñ niñ gener institucional necesari declar emergent niñez articul sistem integr atencion primer infanci organiz red gestion mejor accion estatal ampli polit public social cultural salud educ cuid viviend ampar niñ person carg
1;143;atend emergent alimentari nutricional inclu increment presupuest program alimentari presupuest comedor huert escolar comunitari familiar implement canast basic primer infanci
1;144;garantiz derech aliment med elimin iva product canast basic primer infanci
1;145;apoy organiz social econom solidari centr institu brind atencion servici adult mayor impuls activ formacion recreacion turism social comunitari
1;146;foment inici proyect atend adult mayor sid victim abandon
1;147;atend fortalec deport activ fisic divers manifest entend derech factor coadyuv formacion integral ciudadan dentr marc sistem educ demas aspect vid social ofrec oportun especial person joven niñ niñ adolescent person adult mayor person discapac
1;148;abord med respect consum sustanci psicoact problem salud public
1;149;impuls plen cumplimient derech habitat viviend tal recog constitu
1;150;ello
1;151;implement plan nacional viviend efect garantiz acces part principi universal equid intercultural enfoqu gestion riesg
1;152;impuls plan public rehabilit viviend prioriz famili neces habitacional urgent
1;154;desarroll nuev plan program garant alquiler social asequ nuev regul control contrat arrend evit abus asegur preci just
1;155;proteccion paralel segur jurid person arrend
1;156;justici alcanz paz segur orden justici alcanz paz segur orden diagnost conscient import fundamental busqued paz segur orden pais apost sistem proteccion ciudadan equit efect
1;157;cre paz segur orden pilar fundamental cualqui socied just progres confianz ciudadan tranquil social result fundamental ten garant convivent pacif
1;158;reconoc paz requier orden imparcial discrimin ningun caus
1;159;compromet promov cultur paz nivel socied foment educ bas respet empat
1;160;asegur paz segur aspect crucial deb ser abord maner urgent integral
1;161;tod person deb pod viv mied violenci crim opresion
1;162;implement polit accion asegur segur ciudadan mediant estrategi integral lad abord caus subyacent insegur pobrez exclusion social falt oportun actu contundent plen respet derech human frent violenci call
1;163;apost socied bas derech human solidar justici social
1;164;rechaz cualqui form represion injustific violacion derech individual colect
1;165;rechaz corrupcion influenci crim organiz instanci public
1;166;defend sistem jurid just imparcial ciudadan trat igual ley independient estatus social raz gener orient sexual caracterist
1;167;compromet trabaj conjunt organiz polit social institu segur socied civil promov proteg paz segur orden
1;168;exig rendicion cuent aquell atent valor propici implement polit med efect promuev justici equid comun
1;169;descart realiz proces reconstituyent institucionaliz pais
1;170;convoc respons segur aplic ley sistem proteccion ciudadan socied conjunt tom med concret promov justici benefici paz segur orden
1;171;implic garantiz proteccion tod person independient influenci polit econom bas principi transparent imparcial respet derech human rendicion cuent propon ciudadan paz restitu ministeri coordin segur ministeri justici derech human cult
1;172;reestructur ministeri interior gobiern depur fil fuerz segur
1;173;establec nuev model segur ciudadan bas prevencion reduccion violenci convivent pacif justici equid derech human
1;174;retom control estatal sistem rehabilit social reafirm monopoli armas
1;175;establec centr public desintox rehabilit reinsercion social zon urban rural abord problem adiccion maner integral
1;176;preven crim polit program prevencion delit
1;177;mejor capac investig persecu delit
1;178;fortalec capac investig recoleccion prueb persecu delincuent cuant aplic ley justici penal garantiz asi respuest efect oportun crim
1;179;institucionaliz pais mediant proces constituyent particip
1;180;promov cooper intercambi inform activ criminal patron delict institu encarg segur nivel nacional internacional objet preven combat eficaz crim transnacional organiz
1;181;combat impun implement med garantic delincuent llev justici apliqu sancion proporcional disuasori accion inclu fortalec sistem judicial penitenciari asegur juici just transparent
1;182;proteg victim asegur repar rehabilit
1;183;brind apoy proteccion integral victim crim asegur acces servici apoy emocional asistent legal atencion medic
1;184;ademas promov program rehabilit reinsercion social victim requ
1;185;desarroll estrategi inteligent tecnolog
1;186;utiliz herramient tecnolog analisis dat identific patron delict anticip tendenci criminal fortalec capac prevencion respuest crim
1;187;educ concientiz socied
1;188;implement program educ campañ concienci promov cultur respet ley derech human valor etic asi sensibiliz consecuent crim import particip ciudadan prevencion denunci delit
1;189;organiz particip solidar ciudadan asi mecan alarm comunitari junt gad nivel restitu respald
1;190;asambl comunitari
1;192;boton segur
1;194;alarm comunitari
1;196;reapropi espaci encuentr ciudadan
1;198;diagnost local comunitari restitu asambl comunitari segur ciudadan element inform prevencion veedur civic accion policial
1;199;promov mediacion resolu pacif conflict altern violenci foment dialog construccion consens socied
1;200;sensibiliz educ ciudadan derech respons materi segur promov cultur correspons prevencion solucion problem segur
1;201;desarroll deport music activ promocion iguald gener cultur paz combat machism violenci
1;202;avanz reconoc respet tiemp descans oci diversific democratiz goc asi promocion activ enriquecedor cultural educ
1;203;ciudadan segur fortalec sistem integr segur ecu foment utiliz inteligent artificial optimiz reconoc rastre facial vehicul
1;204;fortalec mecan convivent barri solidar vecin control segur
1;205;constitu agenci especial combat ciberdelit alla ciberdefens nacional
1;206;implement accion mejor segur vial prevencion reduccion accident transit
1;207;establec sistem formacion derech human fuerz public gui sistem penitenciari
1;208;recuper gratuid prepar ingres ffa polic
1;209;establec polit mecan ffa polic cumpl rol defens proteccion derech human conjunt ciudadan
1;210;toler uso exces fuerz represion legitim protest terror
1;211;garantiz proteccion derech segur ciudadan promov cultur respet derech human tod actuacion autor encarg segur
1;212;foment prevencion delit violenci traves program polit integral abord caus subyacent insegur pobrez desiguald exclusion social falt oportun
1;213;fortalec capac formacion calid fuerz segur pued respond maner eficaz respetu desafi segur utiliz metod bas respet derech human aplic ley maner imparcial
1;214;recuper gratuid prepar ingres escuel polic nacional gui penitenciari
1;215;impuls campañ nacional renov dignif polic nacional protector poblacion civil favor buen viv convivent pacif ciudadan defens naturalez
1;216;actualiz sueld salari polic acord inflacion realid econom pais
1;217;realiz program intens devolv motiv confianz ciudadan polic nacional fortalec cre unidad especializ lav activ ciberdelit trafic migrant trat proteccion infanci
1;218;fortalec equid gener dentr institu gener institucional mujer polic prevencion seguimient investig feminicidi trat person fin explot sexual violenci muj
1;219;promov particip ciudadan formul polit segur asi supervision evalu actuacion autor encarg segur
1;220;establec mecan rendicion cuent transparent gestion segur ciudadan asegur violacion derech human investig maner exhaust respons llev justici
1;221;foment cooper intercambi inform institu encarg segur asi actor relev organiz socied civil comun local abord maner integral desafi segur
1;222;establec program rehabilit reinsercion social aquell comet delit foment reintegr socied preven reincident
1;223;evalu maner period polit segur ciudadan establec accion mejor bas dat evident garantiz eficaci adecu neces socied
1;224;justici bienest econom iguald oportun justici bienest econom iguald oportun diagnost situacion injustici impuest neoliberal marc desiguald econom unim plan gobiern trabaj justici econom iguald oportun
1;225;reconoc prosper deb limit poc privilegi sin deb ser compart miembr socied import orig gener raz cualqui caracterist personal
1;226;afirm justici econom implic acces equit oportun recurs recompens
1;227;compromet luch desiguald concentr injust riquez foment sistem cad person posibil alcanz maxim potencial disfrut vid dign estimul nuev form propied gestion colect
1;228;rechaz cualqui form discrimin exclusion obstaculic iguald oportun
1;229;opon barrer limit acces educ emple viviend servici basic
1;230;busc constru socied cad individu libert eleg camin desarroll habil import orig socioeconom
1;231;compromet promov distribu just recurs oportun econom
1;232;promov polit fiscal progres asegur carg equit aquell mayor capac contribut
1;233;busc impuls creacion emple dign salari just condicion laboral adecu promov movil social inclusion econom
1;234;entend justici econom requier enfoqu integral abord desigualdad estructural promuev inclusion grup margin
1;235;compromet desafi prejuici estereotip perpetu discrimin constru socied cad person oportun prosper contribu plen
1;236;plan gobiern llam accion aquell compart vision justici econom iguald oportun
1;237;junt pod constru sistem econom inclus sosten igualitari
1;238;justici econom iguald oportun pil fundamental socied just prosper
1;239;compromet trabaj junt super diferent constru puent alcanz futur cad individu libert persegu sueñ contribu bienest comun propon democratiz econom fortalec mecan proteccion consumidor polit extension proteccion transparent contrat asi prohibicion clausul abus proscripcion clausul abus arbitraj
1;240;deb establec mecan expedit eficient gratuit resolu conflict deriv abus consumidor
1;241;democratiz acces recurs financier mediant fortalec banc public finanz popular motor inversion nacional
1;242;disminu maner generaliz tas interes activ pais segment especial enfasis credit microempres desempeñ activ product detriment credit consum suntuari
1;243;consolid regener capac econom organiz sector popular sector urban rural particul econom popul solidari campesin
1;244;traves senadi divulg tecnolog domini public dec patent venc vigent pais sujet proteccion ecuador fortalec sector tecnolog nacional
1;245;apoy mipym actor econom popul solidari uso herramient gestion conoc optimic tecnolog divulg
1;246;simplific requisit proced administr necesari obtencion credit registr sanitari permis vent public micr pequeñ median empres mipym emprendedor
1;247;pon disposicion sector priv herramient propied industrial contribu aument valor agreg product servici empres ecuatorian
1;248;regul manej almacen inform digital usuari tod clas servici pais proteccion dat
1;249;ello prohib vent cesion dich dat tercer salv consent explicit voluntari person
1;250;respet derech privac inform fortalec estandar dat abiert reduzc barrer entrad distint industri conform suger estandar internacional traves mecan portabil inform centr compens dat interfac program aplic intercambi dat etc
1;251;garantiz principi neutral red establec codig ingeni maner salvaguard libr eleccion privac transparent discrimin acces inform part usuari
1;252;reform regim insolvent balanc relacion pod deudor acreedor mediant fortalec mecan reorganiz empresarial par sancion aquell entidad financ particip prest predatori
1;253;regim deb establec mecan especial pymes
1;254;reduc comision bancari foment comerci electron reduc cost transaccion
1;255;desconcentr merc regul acuerd horizontal competidor cad eslabon caden valor evit fijacion preci repart merc etc
1;256;transparent facilit compar preci condicion implement mecan unific present ofert especial merc oligopol
1;257;regul fusion adquisicion empres tip horizontal mism merc tip vertical mism sector eslabon diferent caden valor preven exces concentr industrial asi tod practic afect negat just proces empres repart merc
1;258;reforz rol superintendent control pod merc dot recurs necesari evit marg accion debaj pod oligopoli regul control
1;259;audit cas necesari deten revert proces concesion privatiz vent activ public
1;260;fortalec dinam industrial sancion tod conduct anticompetit tal abus pod merc comport depred practic colusori
1;261;establec limit correspondient empres domin merc particul pued oper merc adyacent aquell cas involucr monopoli natural
1;262;aplic norm codig ingeni tod flexibil internacional derech propied intelectual derech relacion reduc tiemp apropi aument requisit nivel invent sujet proteccion
1;263;realiz trabaj coordin ies ipi sector product uso limit excepcion derech propied intelectual asimil desagreg tecnolog estrategi proteccion uso conoc gener desarroll activ
1;264;potenci banc ide incorpor recurs econom herramient financ emprendedor innov
1;265;banc ide ofrec capital semill capital riesg medi pag fond garant inici innov pais
1;266;incentiv industri intermedi final textil cuer muebl product mader sustanci product quimic ejempl medicament bien capital ejempl maquinari equip impuls progres tecnolog aquell mayor potencial gener valor agreg nacional traves siguient instrument
1;267;atraccion inversion priv sector seleccion
1;269;lin credit financi adopcion tecnolog sosten ambient
1;271;utiliz sistem compr public impuls industri nacional
1;273;reciproc certif internacional medicament
1;275;desarroll rued negoci nacional internacional
1;277;foment export comerci just
1;279;asegur calid product ecuatorian
1;281;implement centr desagreg innov transferent tecnolog
1;283;foment investig desarroll innov idi
1;284;impuls agroindustri foment sector agricol caracterist ser intens emple potencial encaden product aliment beb tabac industrializ caca elabor pesc extract aceit lacte carnic traves siguient instrument
1;285;impuls institut formacion tecnic relacion sector agroindustrial
1;287;desarroll institut investig agroindustri vincul sector public priv
1;289;reduc cost insum import adquisicion tecnolog
1;291;reduccion cost produccion cultiv alto impact industrializ
1;293;promov construccion aprovech proyect multiproposit
1;295;capacit gir captur tecnolog
1;297;promocion consum produccion agroindustrial nacional
1;299;drawback product proces acces preferencial merc
1;301;garantiz certif internacional relacion trazabil sostenibil
1;302;fortalec desarroll industri basic siderurgi fundicion refin cobr fundicion refin alumini petroquim pulp papel carton astiller gener encaden product sustitu import
1;303;justici etic transparent luch corrupcion justici etic transparent luch corrupcion diagnost pais necesit urgenci combat corrupcion sistem justici funcion plen respet principi sujecion ley constitu imparcial integr correccion equid competent diligent cad person iguald ley aplic ley trat dignid equid
1;304;sistem justici caracterist fundamental combat corrupcion logr convivent pacif respet derech human desarroll socied prosper armoni
1;305;promov iguald tod person ley import orig etnic gener orient sexual religion discapac cualqui caracterist personal
1;306;exig tod person trat maner just garantic juici imparcial independient discrimin preferent ningun tip
1;307;afirm justici sancion corrupt busc aprovech bien comun
1;308;promov acces equit justici tod person independient situacion econom social
1;309;elimin barrer dificult acces servici jurid justici implement med garantic represent legal adecu gratuit aquell pued cost
1;310;defend principi presuncion inocent deb proces plen respet ley constitu
1;311;rechaz cualqui form trat inhuman cruel degrad proces detencion prision prevent exig respet derech fundamental tod person sen proces judicial acus victim
1;312;luch transparent rendicion cuent sistem justici
1;313;demand proces judicial abiert acces public respet necesari derech intim asi requ establezc mecan efect supervision control preven corrupcion abus pod impun person corpor
1;314;promov enfoqu justici restaur proces complej bas derech human encamin atend neces respons individual colect part logr repar complet integral victim reintegr comet delit
1;315;prioriz proces consecu acces justici repar integral victim inclu repar simbol
1;316;garantiz particip victim activ plen garant respet derech human proces judicial brind apoy proteccion adecu super efect fisic emocional econom delit sufr
1;317;subray import rehabilit reintegr person conflict ley
1;318;establec med apoy oportun educ cualif profesional atencion psicosocial fin preven reincident promov reinsercion exit socied
1;319;reivindic enfoqu prevent sistem justici busqu abord caus subyacent delincuent promuev educ inclusion social iguald oportun resolu pacif conflict
1;320;prioriz inversion program prevencion rehabilit actu maner proactiv reactiv sancion punit
1;321;convoc compart vision socied just aquell luch corrupcion otorg mism trat tod ciudadan frent norm jurid institu rig vez sensibl desigualdad diferent adopt med orient equilibr situacion desventaj discrimin preexistent
1;322;implic elimin privilegi poder inclusion social histor exclu pues derech administr justici conviert via transform profundiz democraci objet mir propon despolitiz justici desjudicializ polit recuper independent imparcial plen sujecion ley constitu funcion judicial fiscal cumpl funcion sancion delit person
1;323;establec med imped utiliz justici mecan persecu polit
1;324;garantiz principi independent funcion gener condicion ciudadan pact justici independient imparcial cort constitucional tribunal contenci electoral funcion judicial organ jurisdiccional administr auxiliar autonom asum compromis irrestrict cumpl efect probid garant proces judicial resuelv apeg norm constitucional convencional legal proced tiemp judicial correspondient
1;325;promov adopcion ley orient evit intromision poder factic inclu poder econom mediat administr justici asegur posibil hac realid principi imparcial juec
1;326;promov legisl garantic independent intern funcion judicial equilibr atribu sancionatori consej judicatur frent facult jurisdiccional juez
1;327;apoy funcion judicial fortalec capac institucional consej judicatur asegur transparent meritocraci proces seleccion evalu promocion juec demas servidor judicial asi transparent deb proces regim disciplinari
1;328;promov polit respet limit funcion judicial organ jurisdiccional
1;329;reivindic independent imparcial juec fiscal defensor public dot mecan efect pued comunic medi idone consej judicatur cas exist presion hor resolv asunt somet decision
1;330;promov formacion continu juec juez fiscal consegu sistem justici excelent permanent enfoqu derech human
1;331;promov uso tecnolog inform estadist optimiz decision funcion judicial
1;332;luch corrupcion crim organiz acord pact etic tod socied fortalec principi convivent social gui bien comun
1;333;promov cultur anticorrupcion traves polit prevencion fortalec institucional apoy sancion just social efect
1;334;fortalec marc legal regulatori
1;335;establec norm sol penalic corrupcion crim organiz promov cumplimient efect
1;336;implic mejor legisl existent cerr vaci legal fortalec sistem rendicion cuent
1;337;desarroll polit preven corrupcion sistem ambit public tal seleccion evalu promocion transparent meritocrat servidor public cumplimient principi constitucional servici public realin protocol actuacion mejor sistem inform adecu control previ
1;338;promov transparent rendicion cuent
1;339;implement med promuev transparent gestion public priv asi rendicion cuent funcionari lider empresarial
1;340;inclu fortalec mecan supervision auditor sancion garantiz proteccion denunci corrupcion
1;341;fortalec sistem justici aplic ley
1;342;mejor capac sistem judicial aplic ley investig proces sancion cas corrupcion crim organiz
1;343;inclu proporcion recurs adecu capacit personal judicial policial garantiz independent imparcial institu encarg hac cumpl ley
1;344;incaut confisc activ ilicit
1;345;implement polit med permit incaut confisc activ bien obten maner ilicit actos corrupcion delincuent organiz destin program desarroll social luch delit
1;346;establec sistem proteccion testig denunci
1;347;garantiz segur proteccion testig denunci corrupcion crim organiz mediant incent mecan legal facilit cooper autor
1;348;promov legisl sancion practic puert giratori polit funcionari public pas carg directori grand empres benefici retribu maner part ejercici carg
1;349;promov legisl transparent financi part polit visibiliz permit control conflict interes decision gobiern favorec ilegitim promotor
1;350;promov legisl regul lobbi transparent incident litic
1;351;combat frontal corrupcion fortalec transparent rigur proces contrat public
1;352;promov integr sector public priv
1;353;establec polit med foment etic integr sector public priv
1;354;inclu implement codig conduct diligent deb obligatori adopcion estandar anticorrupcion normat establec practic empresarial
1;355;foment cooper internacional
